time,rlu,mouse_id
0,33.90,0
0,38.76667,1
0,35.70,2
0,29.76667,3
168,2802268,0
168,2894214,1
168,2194305,2
168,1049506,3
168.5,242378.70,0
168.5,263517.50,1
168.5,208779.10,2
168.5,87455.23,3
504,960461.1,0
504,2631703,1
504,1214264,2
504,995881.7,3
504.5,103026.80,0
504.5,162952.10,1
504.5,91478.43,2
504.5,39084.70,3
