,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_log_prod,-0.227,0.2577,-0.6687,0.2212,0.0225,0.0446,383.6293,84.9611,1.0153
log_bbb,-0.5072,0.1525,-0.8002,-0.2299,0.003,0.0025,2652.0038,4197.0016,1.002
log_deg,-3.7151,0.1409,-3.9749,-3.4494,0.0028,0.0023,2684.7572,4114.6502,1.0024
log_tev_vd,-6.5022,0.0993,-6.6839,-6.3129,0.0018,0.0009,3087.0868,5413.6535,1.0017
log_tev_deg,5.191,0.1002,5.0072,5.3834,0.0019,0.0011,2743.9109,4726.2704,1.0038
log_tev_cut,-0.6917,0.0971,-0.8712,-0.5036,0.0018,0.0009,2956.5487,5721.1348,1.0025
