,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_log_prod,-0.1806,0.278,-0.6486,0.2918,0.041,0.0685,83.3501,38.9262,1.0675
log_bbb,-0.4961,0.1743,-0.8314,-0.1843,0.0121,0.0196,247.089,167.5567,1.0378
log_deg,-4.3267,0.2686,-4.788,-3.9189,0.0537,0.0784,41.3175,28.2519,1.1238
log_tev_vd,-6.4993,0.117,-6.696,-6.2878,0.0062,0.0174,535.0189,416.8764,1.0121
log_tev_deg,5.2136,0.1229,4.9921,5.4215,0.0147,0.0211,120.6421,61.079,1.0462
log_tev_cut,-0.7042,0.1477,-0.9762,-0.4415,0.0231,0.0333,60.118,42.2819,1.0883
