,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_log_prod,-2.2454,0.2131,-2.6407,-1.8451,0.0037,0.0027,3304.3893,3152.8732,1.0011
log_bbb,-0.5121,0.1523,-0.7999,-0.2292,0.0021,0.0019,5363.2478,4302.5527,1.0014
log_deg,-5.6546,0.1582,-5.9549,-5.3551,0.0058,0.0037,731.7189,1148.6616,1.0035
sigma_obs,0.605,0.1257,0.3909,0.8432,0.0027,0.0018,2033.6195,3459.2848,1.0009
