,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_log_prod,-0.5296,0.2206,-0.9498,-0.1202,0.0049,0.0027,1991.7361,4129.2721,1.0032
log_bbb,-0.5141,0.1465,-0.7862,-0.2371,0.0029,0.0016,2525.2326,4550.4089,1.0039
log_deg,-4.1696,0.149,-4.4364,-3.8854,0.0031,0.0023,2247.8774,3583.3675,1.0056
log_tev_vd,-6.5045,0.0971,-6.6897,-6.3242,0.0018,0.001,2812.8902,4883.0171,1.0013
log_tev_deg,5.197,0.0988,5.0089,5.3791,0.0021,0.0011,2165.0849,3868.4026,1.0028
log_tev_cut,-0.6923,0.1012,-0.8835,-0.5041,0.0021,0.0012,2425.4493,4238.0165,1.0042
